States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,188,4,192,521,4,525,69,0,69,36,0,36,33,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,2,0,2,34,0,34,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (States),6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,297,7,304,2020,7,2027,105,1,106,39,0,39,66,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (UTs),6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (All India),6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,297,7,304,2020,7,2027,105,1,106,39,0,39,66,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,7,0,7,11,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,10,0,10,5,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,12,3,15,27,3,30,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,10,0,10,16,0,16,11,0,11,2,0,2,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,34,2,36,38,2,40,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,13,1,14,15,1,16,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,19,0,19,57,0,57,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1,13,0,13,2,0,2,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,6,0,6,4,0,4,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,18,2,20,20,2,22,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,158,0,158,276,0,276,21,0,21,15,0,15,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,36,0,36,33,0,33,1,0,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,13,0,13,31,0,31,5,0,5,0,0,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (States),6.3 - Kidnapping for Ransom (Section 364A IPC),2014,347,8,355,529,8,537,36,0,36,18,0,18,18,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (UTs),6.3 - Kidnapping for Ransom (Section 364A IPC),2014,14,0,14,32,0,32,5,0,5,0,0,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (All India),6.3 - Kidnapping for Ransom (Section 364A IPC),2014,361,8,369,561,8,569,41,0,41,18,0,18,23,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,210,1,211,411,4,415,96,3,99,0,0,0,96,3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,7,4,11,7,3,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,91,0,91,38,0,38,3,0,3,1,0,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,1485,0,1485,4507,0,4507,406,0,406,20,0,20,386,0,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,210,2,212,326,2,328,63,1,64,15,0,15,48,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,963,15,978,4267,99,4366,245,5,250,16,2,18,224,3,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,139,2,141,447,4,451,148,2,150,24,0,24,124,2,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,59,2,61,222,7,229,32,0,32,1,0,1,31,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,63,0,63,50,0,50,10,0,10,7,0,7,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,130,5,135,181,2,183,11,0,11,2,0,2,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,87,1,88,416,1,417,13,0,13,0,0,0,13,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,1145,28,1173,1917,29,1946,276,5,281,55,2,57,221,3,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,647,44,691,2836,104,2940,138,8,146,5,0,5,130,8,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,142,3,145,407,3,410,11,0,11,0,0,0,11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,335,14,349,402,14,416,117,5,122,30,0,30,87,5,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,335,8,343,1176,19,1195,179,5,184,53,1,54,126,4,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,373,11,384,863,4,867,199,2,201,60,0,60,139,2,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,387,3,390,520,5,525,63,4,67,7,0,7,56,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,45,0,45,84,0,84,11,0,11,3,0,3,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,7668,318,7986,16250,523,16773,2054,76,2130,1020,36,1056,1000,40,1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,3,0,3,9,0,9,2,0,2,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,396,0,396,286,0,286,125,0,125,0,0,0,125,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,32,0,32,77,0,77,23,0,23,3,0,3,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puducherry,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (States),6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,14935,461,15396,35622,823,36445,4202,116,4318,1319,41,1360,2841,75,2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (UTs),6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,33,0,33,79,0,79,23,0,23,3,0,3,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (All India),6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,14968,461,15429,35701,823,36524,4225,116,4341,1322,41,1363,2861,75,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,6.5 - Other Kidnapping,2014,258,3,261,383,7,390,117,4,121,4,0,4,113,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,6.5 - Other Kidnapping,2014,37,0,37,42,0,42,2,0,2,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,6.5 - Other Kidnapping,2014,53,0,53,6,0,6,2,0,2,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,6.5 - Other Kidnapping,2014,40,0,40,11,0,11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,6.5 - Other Kidnapping,2014,218,13,231,811,13,824,84,0,84,24,0,24,60,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,6.5 - Other Kidnapping,2014,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,6.5 - Other Kidnapping,2014,196,8,204,584,7,591,13,0,13,1,0,1,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.5 - Other Kidnapping,2014,165,2,167,596,4,600,239,4,243,21,2,23,218,2,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,6.5 - Other Kidnapping,2014,13,2,15,54,5,59,3,0,3,0,0,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,6.5 - Other Kidnapping,2014,0,0,0,4,0,4,4,0,4,0,0,0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,6.5 - Other Kidnapping,2014,17,0,17,44,0,44,4,0,4,3,0,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,6.5 - Other Kidnapping,2014,205,5,210,317,5,322,38,0,38,1,0,1,37,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,6.5 - Other Kidnapping,2014,39,2,41,194,2,196,11,0,11,0,0,0,11,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,6.5 - Other Kidnapping,2014,617,3,620,1188,3,1191,202,1,203,81,0,81,121,1,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,6.5 - Other Kidnapping,2014,194,13,207,1633,26,1659,42,0,42,1,0,1,40,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,6.5 - Other Kidnapping,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,6.5 - Other Kidnapping,2014,9,0,9,17,0,17,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,6.5 - Other Kidnapping,2014,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,6.5 - Other Kidnapping,2014,1,0,1,3,0,3,2,0,2,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,6.5 - Other Kidnapping,2014,63,0,63,120,0,120,18,0,18,3,0,3,15,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,6.5 - Other Kidnapping,2014,189,5,194,323,3,326,49,0,49,14,0,14,35,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,6.5 - Other Kidnapping,2014,234,3,237,714,6,720,124,1,125,57,0,57,65,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikkim,6.5 - Other Kidnapping,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,6.5 - Other Kidnapping,2014,21,1,22,164,1,165,20,1,21,1,1,2,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,6.5 - Other Kidnapping,2014,207,0,207,426,0,426,130,0,130,2,0,2,128,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,6.5 - Other Kidnapping,2014,27,1,28,62,2,64,2,0,2,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,6.5 - Other Kidnapping,2014,477,6,483,934,12,946,72,1,73,22,1,23,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,6.5 - Other Kidnapping,2014,60,0,60,145,0,145,20,0,20,14,0,14,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,6.5 - Other Kidnapping,2014,982,72,1054,1728,56,1784,41,2,43,0,0,0,41,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & N Islands,6.5 - Other Kidnapping,2014,2,0,2,19,0,19,1,0,1,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,6.5 - Other Kidnapping,2014,3,0,3,5,0,5,2,0,2,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&N Haveli,6.5 - Other Kidnapping,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daman & Diu,6.5 - Other Kidnapping,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi UT,6.5 - Other Kidnapping,2014,4,0,4,25,0,25,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,6.5 - Other Kidnapping,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
